# x	y	u	v	flags	mask
3.9000e+01	3.2800e+02	-4.6501e+00	-2.2566e-01	0.0000e+00	0.0000e+00
7.5000e+01	3.2800e+02	2.5067e+00	-3.6268e+00	1.0000e+00	0.0000e+00
1.1100e+02	3.2800e+02	3.7028e+00	2.6788e-01	0.0000e+00	0.0000e+00
1.4700e+02	3.2800e+02	1.6648e+00	-4.9043e+00	1.0000e+00	0.0000e+00
1.8300e+02	3.2800e+02	2.6354e-01	-4.1979e+00	1.0000e+00	0.0000e+00
2.1900e+02	3.2800e+02	1.0419e-02	-4.0906e+00	1.0000e+00	0.0000e+00
2.5500e+02	3.2800e+02	-1.4666e+01	6.3804e-01	0.0000e+00	0.0000e+00
2.9100e+02	3.2800e+02	-2.0227e+01	4.3845e+00	0.0000e+00	0.0000e+00
3.2700e+02	3.2800e+02	-1.0910e+00	-3.6496e-01	0.0000e+00	0.0000e+00
3.6300e+02	3.2800e+02	4.2932e+00	-8.9435e-01	1.0000e+00	0.0000e+00
3.9900e+02	3.2800e+02	6.3580e-01	-4.8571e-02	0.0000e+00	0.0000e+00
4.3500e+02	3.2800e+02	4.0993e+00	1.1100e-01	0.0000e+00	0.0000e+00
4.7100e+02	3.2800e+02	5.9530e+00	7.4313e-01	1.0000e+00	0.0000e+00
3.9000e+01	2.9200e+02	1.3626e+01	-7.1021e+00	0.0000e+00	0.0000e+00
7.5000e+01	2.9200e+02	2.8609e+00	-3.4802e+00	1.0000e+00	0.0000e+00
1.1100e+02	2.9200e+02	2.6079e-01	-1.0314e+00	0.0000e+00	0.0000e+00
1.4700e+02	2.9200e+02	2.0781e+00	-4.3802e+00	1.0000e+00	0.0000e+00
1.8300e+02	2.9200e+02	6.0624e+00	-1.9227e+01	0.0000e+00	0.0000e+00
2.1900e+02	2.9200e+02	3.4172e+00	-8.2694e-02	0.0000e+00	0.0000e+00
2.5500e+02	2.9200e+02	1.3635e+01	-2.0204e+01	0.0000e+00	0.0000e+00
2.9100e+02	2.9200e+02	2.1585e+00	-2.9965e+00	1.0000e+00	0.0000e+00
3.2700e+02	2.9200e+02	2.4817e+00	-2.3085e+00	1.0000e+00	0.0000e+00
3.6300e+02	2.9200e+02	8.5814e+00	2.0466e-01	0.0000e+00	0.0000e+00
3.9900e+02	2.9200e+02	9.4398e-02	1.4335e+00	0.0000e+00	0.0000e+00
