# x	y	u	v	flags	mask
2.1757e-01	3.5226e+00	8.4780e-01	-2.8880e-02	0.0000e+00	0.0000e+00
4.8695e-01	3.5226e+00	7.7447e-01	1.1869e-02	0.0000e+00	0.0000e+00
7.5632e-01	3.5226e+00	1.0982e+00	-9.1314e-05	0.0000e+00	0.0000e+00
1.0257e+00	3.5226e+00	1.0247e+00	-2.4306e-03	0.0000e+00	0.0000e+00
1.2951e+00	3.5226e+00	1.0446e+00	-2.1740e-02	0.0000e+00	0.0000e+00
1.5644e+00	3.5226e+00	1.0422e+00	-1.2646e-01	0.0000e+00	0.0000e+00
1.8338e+00	3.5226e+00	1.3137e+00	-7.0073e-02	0.0000e+00	0.0000e+00
2.1032e+00	3.5226e+00	9.7931e-01	-7.2480e-02	0.0000e+00	0.0000e+00
2.3726e+00	3.5226e+00	9.8719e-01	-3.3060e-02	0.0000e+00	0.0000e+00
2.6419e+00	3.5226e+00	1.1838e+00	-4.3896e-03	0.0000e+00	0.0000e+00
2.9113e+00	3.5226e+00	1.0939e+00	-1.8031e-02	0.0000e+00	0.0000e+00
3.1807e+00	3.5226e+00	1.1948e+00	-7.4186e-02	0.0000e+00	0.0000e+00
3.4501e+00	3.5226e+00	1.1519e+00	-5.1530e-02	0.0000e+00	0.0000e+00
3.7194e+00	3.5226e+00	1.3473e+00	-7.0894e-02	0.0000e+00	0.0000e+00
3.9888e+00	3.5226e+00	1.3882e+00	-2.1045e-01	0.0000e+00	0.0000e+00
4.2582e+00	3.5226e+00	9.9970e-01	-1.8154e-02	0.0000e+00	0.0000e+00
4.5276e+00	3.5226e+00	2.7434e+00	-3.6812e-02	1.0000e+00	0.0000e+00
4.7969e+00	3.5226e+00	2.7711e+00	-4.2677e-02	1.0000e+00	0.0000e+00
5.0663e+00	3.5226e+00	1.4475e+00	-3.7784e-01	0.0000e+00	0.0000e+00
2.1757e-01	3.2532e+00	2.0648e+00	-0.0000e+00	0.0000e+00	0.0000e+00
4.8695e-01	3.2532e+00	2.2270e+00	-1.0929e-02	0.0000e+00	0.0000e+00
7.5632e-01	3.2532e+00	2.0332e+00	1.1479e-02	0.0000e+00	0.0000e+00
1.0257e+00	3.2532e+00	2.1437e+00	8.2400e-02	0.0000e+00	0.0000e+00
1.2951e+00	3.2532e+00	2.0676e+00	-8.3121e-02	0.0000e+00	0.0000e+00
1.5644e+00	3.2532e+00	2.0272e+00	-3.3805e-02	0.0000e+00	0.0000e+00
1.8338e+00	3.2532e+00	2.0641e+00	-1.8723e-02	0.0000e+00	0.0000e+00
2.1032e+00	3.2532e+00	2.3274e+00	-9.4557e-03	0.0000e+00	0.0000e+00
2.3726e+00	3.2532e+00	2.1727e+00	1.1372e-02	0.0000e+00	0.0000e+00
2.6419e+00	3.2532e+00	2.0120e+00	5.0581e-03	0.0000e+00	0.0000e+00
2.9113e+00	3.2532e+00	1.9281e+00	2.3394e-02	0.0000e+00	0.0000e+00
3.1807e+00	3.2532e+00	2.3711e+00	-3.3592e-02	0.0000e+00	0.0000e+00
3.4501e+00	3.2532e+00	2.1586e+00	-8.3676e-03	0.0000e+00	0.0000e+00
3.7194e+00	3.2532e+00	2.2235e+00	3.6962e-02	0.0000e+00	0.0000e+00
3.9888e+00	3.2532e+00	1.9485e+00	-4.5825e-02	0.0000e+00	0.0000e+00
4.2582e+00	3.2532e+00	1.9245e+00	-5.8432e-02	0.0000e+00	0.0000e+00
4.5276e+00	3.2532e+00	1.8300e+00	9.1644e-03	0.0000e+00	0.0000e+00
4.7969e+00	3.2532e+00	2.4448e+00	9.4144e-03	0.0000e+00	0.0000e+00
5.0663e+00	3.2532e+00	3.1874e+00	-3.8432e-02	1.0000e+00	0.0000e+00
2.1757e-01	2.9838e+00	3.1680e+00	1.0126e-02	0.0000e+00	0.0000e+00
4.8695e-01	2.9838e+00	3.0370e+00	-1.7977e-01	1.0000e+00	0.0000e+00
7.5632e-01	2.9838e+00	3.1241e+00	4.7459e-04	0.0000e+00	0.0000e+00
1.0257e+00	2.9838e+00	3.1904e+00	5.4756e-03	0.0000e+00	0.0000e+00
1.2951e+00	2.9838e+00	3.0689e+00	-2.0750e-02	0.0000e+00	0.0000e+00
1.5644e+00	2.9838e+00	3.0680e+00	4.3113e-02	0.0000e+00	0.0000e+00
1.8338e+00	2.9838e+00	3.1326e+00	1.9365e-02	0.0000e+00	0.0000e+00
2.1032e+00	2.9838e+00	2.9134e+00	7.9694e-02	0.0000e+00	0.0000e+00
2.3726e+00	2.9838e+00	2.8643e+00	-3.5735e-02	0.0000e+00	0.0000e+00
2.6419e+00	2.9838e+00	3.0943e+00	-1.1274e-03	0.0000e+00	0.0000e+00
2.9113e+00	2.9838e+00	3.4315e+00	-3.7952e-02	0.0000e+00	0.0000e+00
3.1807e+00	2.9838e+00	3.1146e+00	-1.2743e-02	0.0000e+00	0.0000e+00
3.4501e+00	2.9838e+00	3.2566e+00	-7.6040e-02	0.0000e+00	0.0000e+00
3.7194e+00	2.9838e+00	3.0991e+00	6.6577e-02	0.0000e+00	0.0000e+00
3.9888e+00	2.9838e+00	3.1923e+00	-3.7602e-02	0.0000e+00	0.0000e+00
4.2582e+00	2.9838e+00	3.2044e+00	4.7719e-04	0.0000e+00	0.0000e+00
4.5276e+00	2.9838e+00	2.9572e+00	-1.6631e-02	0.0000e+00	0.0000e+00
4.7969e+00	2.9838e+00	3.4515e+00	-2.9019e-02	1.0000e+00	0.0000e+00
5.0663e+00	2.9838e+00	3.0882e+00	-9.6530e-03	0.0000e+00	0.0000e+00
2.1757e-01	2.7145e+00	3.7783e+00	3.7958e-03	0.0000e+00	0.0000e+00
4.8695e-01	2.7145e+00	3.9712e+00	1.7277e-03	0.0000e+00	0.0000e+00
7.5632e-01	2.7145e+00	3.9183e+00	-1.3624e-02	0.0000e+00	0.0000e+00
1.0257e+00	2.7145e+00	3.5240e+00	3.9097e-02	0.0000e+00	0.0000e+00
1.2951e+00	2.7145e+00	4.0926e+00	-1.3543e-01	0.0000e+00	0.0000e+00
1.5644e+00	2.7145e+00	4.1926e+00	3.9006e-02	0.0000e+00	0.0000e+00
1.8338e+00	2.7145e+00	4.0025e+00	7.1370e-02	0.0000e+00	0.0000e+00
2.1032e+00	2.7145e+00	4.1549e+00	-1.3906e-01	0.0000e+00	0.0000e+00
2.3726e+00	2.7145e+00	4.2115e+00	-1.5380e-01	0.0000e+00	0.0000e+00
2.6419e+00	2.7145e+00	3.7927e+00	-5.3095e-02	0.0000e+00	0.0000e+00
2.9113e+00	2.7145e+00	3.9411e+00	-7.8407e-02	0.0000e+00	0.0000e+00
3.1807e+00	2.7145e+00	3.7710e+00	-2.1919e-02	0.0000e+00	0.0000e+00
3.4501e+00	2.7145e+00	3.9322e+00	-2.2861e-02	0.0000e+00	0.0000e+00
3.7194e+00	2.7145e+00	3.7488e+00	-6.2606e-02	0.0000e+00	0.0000e+00
3.9888e+00	2.7145e+00	3.9025e+00	-2.5569e-02	0.0000e+00	0.0000e+00
4.2582e+00	2.7145e+00	3.6466e+00	-1.7175e-02	1.0000e+00	0.0000e+00
4.5276e+00	2.7145e+00	3.6623e+00	-1.4464e-02	1.0000e+00	0.0000e+00
4.7969e+00	2.7145e+00	4.0582e+00	3.1397e-02	0.0000e+00	0.0000e+00
5.0663e+00	2.7145e+00	3.7760e+00	8.3109e-02	0.0000e+00	0.0000e+00
2.1757e-01	2.4451e+00	4.7476e+00	3.3069e-02	0.0000e+00	0.0000e+00
4.8695e-01	2.4451e+00	4.2514e+00	3.8248e-01	0.0000e+00	0.0000e+00
7.5632e-01	2.4451e+00	4.4362e+00	1.6638e-02	0.0000e+00	0.0000e+00
1.0257e+00	2.4451e+00	-1.7255e+00	-5.5830e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.4451e+00	4.4489e+00	-4.9413e-02	0.0000e+00	0.0000e+00
1.5644e+00	2.4451e+00	4.3122e+00	-4.2560e-03	0.0000e+00	0.0000e+00
1.8338e+00	2.4451e+00	4.5458e+00	7.8642e-02	0.0000e+00	0.0000e+00
2.1032e+00	2.4451e+00	4.3304e+00	2.5048e-02	0.0000e+00	0.0000e+00
2.3726e+00	2.4451e+00	4.3925e+00	2.4206e-02	0.0000e+00	0.0000e+00
2.6419e+00	2.4451e+00	4.0699e+00	-8.6102e-03	1.0000e+00	0.0000e+00
2.9113e+00	2.4451e+00	4.4936e+00	-6.6630e-02	0.0000e+00	0.0000e+00
3.1807e+00	2.4451e+00	4.0661e+00	-8.3047e-03	1.0000e+00	0.0000e+00
3.4501e+00	2.4451e+00	4.3350e+00	1.2525e-02	0.0000e+00	0.0000e+00
3.7194e+00	2.4451e+00	4.5438e+00	-1.0491e-02	0.0000e+00	0.0000e+00
3.9888e+00	2.4451e+00	4.6372e+00	8.7701e-02	0.0000e+00	0.0000e+00
4.2582e+00	2.4451e+00	4.6164e+00	-1.3306e-02	0.0000e+00	0.0000e+00
4.5276e+00	2.4451e+00	4.6330e+00	2.5157e-03	0.0000e+00	0.0000e+00
4.7969e+00	2.4451e+00	4.6469e+00	2.7551e-03	0.0000e+00	0.0000e+00
5.0663e+00	2.4451e+00	4.8613e+00	-2.2651e-01	0.0000e+00	0.0000e+00
2.1757e-01	2.1757e+00	4.7980e+00	3.1570e-01	0.0000e+00	0.0000e+00
4.8695e-01	2.1757e+00	5.1058e+00	-1.0225e-01	0.0000e+00	0.0000e+00
7.5632e-01	2.1757e+00	4.8899e+00	5.3949e-02	0.0000e+00	0.0000e+00
1.0257e+00	2.1757e+00	4.9679e+00	-2.0081e-02	0.0000e+00	0.0000e+00
1.2951e+00	2.1757e+00	4.9902e+00	-1.0993e-01	0.0000e+00	0.0000e+00
1.5644e+00	2.1757e+00	4.8376e+00	-9.6540e-02	0.0000e+00	0.0000e+00
1.8338e+00	2.1757e+00	4.8929e+00	3.4665e-02	0.0000e+00	0.0000e+00
2.1032e+00	2.1757e+00	5.0740e+00	1.3683e-01	0.0000e+00	0.0000e+00
2.3726e+00	2.1757e+00	4.9054e+00	1.1691e-01	0.0000e+00	0.0000e+00
2.6419e+00	2.1757e+00	4.9147e+00	-3.4404e-02	0.0000e+00	0.0000e+00
2.9113e+00	2.1757e+00	4.9568e+00	1.6784e-02	0.0000e+00	0.0000e+00
3.1807e+00	2.1757e+00	4.9785e+00	-2.5434e-02	0.0000e+00	0.0000e+00
3.4501e+00	2.1757e+00	5.1037e+00	-3.2086e-01	0.0000e+00	0.0000e+00
3.7194e+00	2.1757e+00	4.5409e+00	5.2613e-02	1.0000e+00	0.0000e+00
3.9888e+00	2.1757e+00	4.9201e+00	1.4472e-02	0.0000e+00	0.0000e+00
4.2582e+00	2.1757e+00	4.7895e+00	1.9966e-01	0.0000e+00	0.0000e+00
4.5276e+00	2.1757e+00	4.9890e+00	-1.1547e-03	0.0000e+00	0.0000e+00
4.7969e+00	2.1757e+00	5.0183e+00	-5.0473e-02	0.0000e+00	0.0000e+00
5.0663e+00	2.1757e+00	5.0109e+00	-3.2677e-02	0.0000e+00	0.0000e+00
2.1757e-01	1.9063e+00	5.1462e+00	4.8918e-02	0.0000e+00	0.0000e+00
4.8695e-01	1.9063e+00	5.1470e+00	8.4011e-02	0.0000e+00	0.0000e+00
