# x	y	u	v	flags	mask
5.0663e+00	2.9838e+00	1.0407e+00	-2.0420e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.7145e+00	9.6046e-01	-2.0692e+00	0.0000e+00	0.0000e+00
4.8695e-01	2.7145e+00	1.0488e+00	-2.0788e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.7145e+00	9.8968e-01	-2.0668e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.7145e+00	1.0487e+00	-2.0492e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.7145e+00	1.0074e+00	-1.9637e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.7145e+00	1.0251e+00	-2.0285e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.7145e+00	1.0223e+00	-2.0385e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.7145e+00	1.1248e+00	-2.0300e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.7145e+00	9.9067e-01	-2.0430e+00	0.0000e+00	0.0000e+00
2.6419e+00	2.7145e+00	9.5884e-01	-2.0762e+00	0.0000e+00	0.0000e+00
2.9113e+00	2.7145e+00	1.0117e+00	-2.0314e+00	0.0000e+00	0.0000e+00
3.1807e+00	2.7145e+00	1.0155e+00	-2.0514e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.7145e+00	1.0753e+00	-2.0517e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.7145e+00	1.0062e+00	-2.0271e+00	0.0000e+00	0.0000e+00
3.9888e+00	2.7145e+00	1.0555e+00	-1.9800e+00	0.0000e+00	0.0000e+00
4.2582e+00	2.7145e+00	9.9538e-01	-2.0776e+00	0.0000e+00	0.0000e+00
4.5276e+00	2.7145e+00	1.0058e+00	-1.9729e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.7145e+00	1.0507e+00	-2.0581e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.7145e+00	1.0438e+00	-2.0690e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.4451e+00	9.8954e-01	-2.0240e+00	0.0000e+00	0.0000e+00
4.8695e-01	2.4451e+00	9.7118e-01	-2.0277e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.4451e+00	1.0678e+00	-2.0968e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.4451e+00	1.0243e+00	-2.0024e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.4451e+00	1.0429e+00	-2.0353e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.4451e+00	9.5438e-01	-2.0519e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.4451e+00	1.0625e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.4451e+00	1.0319e+00	-1.9913e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.4451e+00	1.0297e+00	-2.0326e+00	1.0000e+00	0.0000e+00
2.6419e+00	2.4451e+00	9.7958e-01	-1.9963e+00	0.0000e+00	0.0000e+00
2.9113e+00	2.4451e+00	1.0317e+00	-2.0639e+00	0.0000e+00	0.0000e+00
3.1807e+00	2.4451e+00	9.9368e-01	-2.0397e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.4451e+00	1.0235e+00	-2.0324e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.4451e+00	1.0361e+00	-2.0400e+00	0.0000e+00	0.0000e+00
3.9888e+00	2.4451e+00	9.7799e-01	-2.0721e+00	0.0000e+00	0.0000e+00
4.2582e+00	2.4451e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.5276e+00	2.4451e+00	1.0004e+00	-2.0538e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.4451e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.4451e+00	9.9996e-01	-1.8420e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.1757e+00	1.0361e+00	-1.9773e+00	0.0000e+00	0.0000e+00
4.8695e-01	2.1757e+00	1.0189e+00	-1.9670e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.1757e+00	1.0361e+00	-2.0286e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.1757e+00	1.0266e+00	-2.0438e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.1757e+00	9.8652e-01	-2.0226e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.1757e+00	1.0884e+00	-2.0315e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.1757e+00	9.8168e-01	-1.9444e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.1757e+00	1.0476e+00	-2.0484e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.1757e+00	1.0361e+00	-2.0396e+00	0.0000e+00	0.0000e+00
2.6419e+00	2.1757e+00	1.0044e+00	-2.0375e+00	0.0000e+00	0.0000e+00
2.9113e+00	2.1757e+00	1.1147e+00	-2.0653e+00	0.0000e+00	0.0000e+00
3.1807e+00	2.1757e+00	1.0361e+00	-2.0328e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.1757e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.1757e+00	9.1516e-01	-1.9952e+00	0.0000e+00	0.0000e+00
3.9888e+00	2.1757e+00	1.0361e+00	-1.9297e+00	0.0000e+00	0.0000e+00
4.2582e+00	2.1757e+00	1.1298e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.5276e+00	2.1757e+00	1.0931e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.1757e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.1757e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.1757e-01	1.9063e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.8695e-01	1.9063e+00	1.0800e+00	-2.0622e+00	0.0000e+00	0.0000e+00
7.5632e-01	1.9063e+00	1.0250e+00	-2.0563e+00	0.0000e+00	0.0000e+00
1.0257e+00	1.9063e+00	9.8964e-01	-2.0300e+00	0.0000e+00	0.0000e+00
1.2951e+00	1.9063e+00	1.0319e+00	-2.0183e+00	0.0000e+00	0.0000e+00
1.5644e+00	1.9063e+00	1.1597e+00	-2.0494e+00	0.0000e+00	0.0000e+00
1.8338e+00	1.9063e+00	1.0237e+00	-2.0745e+00	0.0000e+00	0.0000e+00
2.1032e+00	1.9063e+00	1.0361e+00	-2.0398e+00	0.0000e+00	0.0000e+00
2.3726e+00	1.9063e+00	9.5665e-01	-1.9891e+00	0.0000e+00	0.0000e+00
2.6419e+00	1.9063e+00	9.8597e-01	-2.0220e+00	0.0000e+00	0.0000e+00
2.9113e+00	1.9063e+00	1.1040e+00	-2.0670e+00	0.0000e+00	0.0000e+00
3.1807e+00	1.9063e+00	1.0038e+00	-2.0404e+00	0.0000e+00	0.0000e+00
3.4501e+00	1.9063e+00	1.2380e+00	5.4393e+00	0.0000e+00	0.0000e+00
3.7194e+00	1.9063e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
3.9888e+00	1.9063e+00	1.0565e+00	-1.9917e+00	0.0000e+00	0.0000e+00
4.2582e+00	1.9063e+00	1.0678e+00	-1.9616e+00	0.0000e+00	0.0000e+00
4.5276e+00	1.9063e+00	1.0486e+00	-1.9806e+00	0.0000e+00	0.0000e+00
4.7969e+00	1.9063e+00	1.1017e+00	-2.0065e+00	0.0000e+00	0.0000e+00
5.0663e+00	1.9063e+00	1.0550e+00	-2.0522e+00	0.0000e+00	0.0000e+00
