# x	y	u	v	flags	mask
1.1770e+01	1.8753e+00	-8.9436e-01	5.4748e-01	1.0000e+00	0.0000e+00
1.1977e+01	1.8753e+00	-7.4018e-01	4.6570e-01	1.0000e+00	0.0000e+00
1.2184e+01	1.8753e+00	-6.5776e-01	1.3381e-01	1.0000e+00	0.0000e+00
1.2391e+01	1.8753e+00	2.3360e-01	-3.9396e-01	0.0000e+00	0.0000e+00
1.2598e+01	1.8753e+00	-8.7621e-01	-2.8144e-01	1.0000e+00	0.0000e+00
1.2806e+01	1.8753e+00	-3.0262e+00	-5.8750e-01	0.0000e+00	0.0000e+00
1.3013e+01	1.8753e+00	-8.5499e-01	2.0987e-01	1.0000e+00	0.0000e+00
1.3220e+01	1.8753e+00	-1.0502e+00	-5.3980e-02	1.0000e+00	0.0000e+00
1.3427e+01	1.8753e+00	-1.4377e+00	-4.1715e-01	1.0000e+00	0.0000e+00
1.3634e+01	1.8753e+00	-2.7538e+00	-1.9634e+00	0.0000e+00	0.0000e+00
1.3842e+01	1.8753e+00	-1.9651e+00	-6.0739e-01	1.0000e+00	0.0000e+00
1.4049e+01	1.8753e+00	-5.3695e+00	-8.0418e-01	0.0000e+00	0.0000e+00
1.4256e+01	1.8753e+00	-1.9659e+00	-6.3347e-01	1.0000e+00	0.0000e+00
1.6577e-01	1.6680e+00	-3.2241e+00	3.1333e+00	0.0000e+00	0.0000e+00
3.7298e-01	1.6680e+00	4.2353e-01	3.3165e+00	1.0000e+00	0.0000e+00
5.8019e-01	1.6680e+00	6.0404e-01	3.0491e+00	1.0000e+00	0.0000e+00
7.8740e-01	1.6680e+00	5.2391e+00	6.6744e+00	0.0000e+00	0.0000e+00
9.9461e-01	1.6680e+00	8.3089e-01	2.2745e+00	1.0000e+00	0.0000e+00
1.2018e+00	1.6680e+00	2.1975e+00	5.6269e+00	0.0000e+00	0.0000e+00
1.4090e+00	1.6680e+00	4.3970e-01	8.8888e-01	1.0000e+00	0.0000e+00
1.6162e+00	1.6680e+00	5.6817e+00	5.4289e+00	0.0000e+00	0.0000e+00
1.8235e+00	1.6680e+00	-4.9667e+00	3.0007e+00	0.0000e+00	0.0000e+00
2.0307e+00	1.6680e+00	-5.4765e+00	3.0751e+00	0.0000e+00	0.0000e+00
2.2379e+00	1.6680e+00	3.6838e-01	-1.1866e+00	1.0000e+00	0.0000e+00
2.4451e+00	1.6680e+00	1.8225e-01	-1.2724e+00	1.0000e+00	0.0000e+00
2.6523e+00	1.6680e+00	1.3930e-01	-1.1495e+00	1.0000e+00	0.0000e+00
2.8595e+00	1.6680e+00	6.1932e-01	-7.3102e-01	1.0000e+00	0.0000e+00
3.0667e+00	1.6680e+00	1.3289e-01	-3.9900e-01	1.0000e+00	0.0000e+00
3.2739e+00	1.6680e+00	6.8108e-01	-4.2347e+00	0.0000e+00	0.0000e+00
